timestamp,episode,steps,total_reward,avg_throughput,avg_latency,avg_collision_rate,avg_fairness
2026-08-26T18:37:10.873852,0,800,467.0689079828098,2.7359999999999998,8.514422222222223,0.0,0.6992723952423558
2026-08-26T18:37:19.475232,1,800,470.3604482064723,3.2303999999999995,9.1942,0.006666666666666666,0.6999787582577578
2026-08-26T18:37:25.431124,2,800,475.30182787436,2.9184,10.751333333333331,0.005,0.7147885262552711
2026-08-26T18:37:31.134657,3,800,470.39984930209897,3.3104,13.400355555555556,0.013333333333333332,0.6442551802844736
2026-08-26T18:37:37.672011,4,800,469.30993804359355,2.4495999999999998,10.492666666666667,0.004,0.7039905461078899
2026-08-26T18:38:00.942984,0,800,474.18397619811714,2.952,12.182911111111112,0.0,0.6683405952723865
2026-08-26T18:38:07.186828,1,800,470.8154255950323,3.0016,10.8836,0.005,0.695108171610415
2026-08-26T18:38:12.715442,2,800,466.53827531520056,2.6479999999999997,11.6784,0.005,0.7092234016273729
2026-08-26T18:38:17.979157,3,800,465.69304972030096,2.9408,9.811155555555557,0.0,0.7069033868755069
2026-08-26T18:38:24.849206,4,800,462.2337792142746,2.807999999999999,9.46362222222222,0.0,0.698179297097376
2026-08-26T18:38:44.388903,0,800,469.33978609449673,2.64,12.68137777777778,0.006666666666666666,0.6914380438072864
2026-08-26T18:38:50.017961,1,800,471.2350084193545,2.9584,12.946866666666665,0.006666666666666666,0.6609059278084257
2026-08-26T18:38:57.526501,2,800,471.54224057467945,1.9791999999999998,12.402133333333333,0.0,0.7335147823548912
2026-08-26T18:39:03.078560,3,800,467.3932438555633,2.4383999999999997,7.984666666666667,0.013333333333333332,0.7313544751594712
2026-08-26T18:39:09.857615,4,800,471.3631110041619,3.3072,12.510370370370369,0.01,0.6954432374644642
2026-08-26T18:39:27.425560,0,800,470.5425203850962,2.5839999999999996,10.390444444444444,0.01,0.7053422727951276
2026-08-26T18:39:32.862295,1,800,477.82820380829276,3.6319999999999992,10.681722222222222,0.013333333333333332,0.6988945978986113
2026-08-26T18:39:39.519920,2,800,467.1275690759223,3.7376,13.030511111111108,0.03233333333333333,0.6911596231296379
2026-08-26T18:39:44.725380,3,800,466.86417558453155,3.4879999999999995,8.878814814814815,0.015,0.7079350573793934
2026-08-26T18:39:50.937282,4,800,461.03362602472157,2.6128000000000005,10.183666666666667,0.01,0.7168156172914278
2026-08-26T18:40:08.900984,0,800,470.2888008314888,2.5152,11.205688888888888,0.003333333333333333,0.6865077939135618
2026-08-26T18:40:14.162496,1,800,461.30429029784324,2.4495999999999998,9.581666666666665,0.010666666666666666,0.7286100932176148
2026-08-26T18:40:20.311662,2,800,457.7104724973995,3.1408,12.792866666666663,0.01,0.6438972706047644
2026-08-26T18:40:26.073797,3,800,468.03038718580757,2.6463999999999994,9.544133333333335,0.0,0.6936192512612074
2026-08-26T18:40:31.307543,4,800,475.6466189647815,3.568,12.100622222222222,0.024,0.6502055017376684
2026-08-26T18:40:50.258104,0,800,463.1456266376484,2.1296,12.95151111111111,0.015,0.7275747408464815
2026-08-26T18:40:56.058684,1,800,468.9713506217079,2.6719999999999993,11.893866666666668,0.006666666666666666,0.7088739412431838
2026-08-26T18:41:01.432293,2,800,475.0980633663139,2.6527999999999996,10.903533333333332,0.005,0.684085414987913
2026-08-26T18:41:08.061315,3,800,467.3937661545872,2.2576,11.074333333333334,0.005,0.7122394971831792
2026-08-26T18:41:13.291070,4,800,471.637204251687,3.3407999999999993,11.578088888888892,0.0,0.6669400607450565
2026-08-26T18:41:30.413245,0,800,469.3476633843834,2.1152,11.530111111111111,0.0,0.7442334898567744
2026-08-26T18:41:37.094853,1,800,470.022365911994,2.5231999999999997,10.552922222222223,0.005,0.7196801081224014
2026-08-26T18:41:42.540722,2,800,481.5337913121138,2.1808,9.661622222222222,0.0,0.7202244236911685
2026-08-26T18:41:48.538507,3,800,465.69520031662415,2.7343999999999995,12.013222222222224,0.01,0.7007270148835548
2026-08-26T18:41:54.242580,4,800,468.7146801041936,2.8207999999999993,13.975444444444445,0.0,0.6896944540636967
2026-08-26T18:42:12.049283,0,800,469.15007492629644,2.984,10.542831111111111,0.0016666666666666666,0.7167119998445434
2026-08-26T18:42:17.827600,1,800,463.8030416185291,3.2464,9.556933333333333,0.0,0.6706101820424035
2026-08-26T18:42:23.761058,2,800,471.0681736282152,3.0111999999999988,14.679022222222223,0.016666666666666666,0.6826536755561733
2026-08-26T18:42:28.897867,3,800,457.71843666270394,2.5023999999999997,12.733866666666668,0.0,0.7143343458502137
2026-08-26T18:42:35.457441,4,800,470.37889254089873,2.2352,15.004733333333336,0.0,0.7058974358974358
2026-08-26T18:42:52.603664,0,800,464.64362692926835,2.4207999999999994,9.912822222222223,0.006666666666666666,0.7249502729304802
2026-08-26T18:42:57.832621,1,800,464.4661656802864,3.048,14.97802222222222,0.01,0.7388870436855983
2026-08-26T18:43:04.476316,2,800,474.4507150071228,2.5151999999999997,10.769222222222224,0.0,0.704788526255271
2026-08-26T18:43:09.548746,3,800,467.08890156484057,2.4335999999999998,12.974377777777777,0.006666666666666666,0.7190079191719113
2026-08-26T18:43:14.792923,4,800,470.7403519428301,3.1391999999999998,9.006244444444444,0.01,0.6693376656205465
2026-08-26T18:43:33.867807,0,800,466.6634606918279,3.1919999999999993,13.473011111111111,0.0,0.6921188003126266
2026-08-26T18:43:39.182616,1,800,468.75889269502136,3.2656,15.93368888888889,0.005833333333333333,0.671768143422314
2026-08-26T18:43:44.394198,2,800,463.74718708715545,2.9760000000000004,13.886866666666664,0.0,0.7147726930951841
2026-08-26T18:43:50.804157,3,800,465.2289624098721,1.9711999999999998,10.650177777777776,0.02,0.740371062651869
2026-08-26T18:43:55.900361,4,800,464.424294307407,2.6864,11.947348148148146,0.0,0.7181118329256784
2026-08-26T18:44:42.103530,0,800,467.68745372048494,2.6624,10.403866666666667,0.006666666666666666,0.7344370896724279
2026-08-26T18:44:48.753790,1,800,471.77919850785656,2.6735999999999995,12.611244444444445,0.013333333333333332,0.7201979552344805
2026-08-26T18:44:53.902119,2,800,474.5111278774788,2.7055999999999996,10.214748148148148,0.009000000000000001,0.7110761326817864
2026-08-26T18:44:59.669352,3,800,470.9403210491715,2.7215999999999996,10.930977777777777,0.016666666666666666,0.7075482723897936
2026-08-26T18:45:06.031484,4,800,462.81687892577094,2.3328,7.393748148148148,0.01,0.7292664763894969
2026-08-26T18:45:23.480560,0,800,465.14964702887414,1.6703999999999999,7.611533333333334,0.0,0.7777386942145048
2026-08-26T18:45:29.183015,1,800,472.14846241662553,2.5136,12.732200000000002,0.0,0.7386559433909808
2026-08-26T18:45:35.447136,2,800,468.3386898232523,2.3551999999999995,15.70468148148148,0.016666666666666666,0.7264648192439513
2026-08-26T18:45:40.749880,3,800,453.1822394833166,2.0816000000000003,10.192955555555555,0.013333333333333332,0.7094528812578771
2026-08-26T18:45:47.366356,4,800,468.8030352795334,3.4303999999999997,13.854688888888889,0.01833333333333333,0.6513569886019935
2026-08-26T18:46:05.075984,0,800,455.3838619084138,1.7072,10.54282222222222,0.013333333333333332,0.7482392611417589
2026-08-26T18:46:10.311699,1,800,458.7072019858476,2.5072,12.499666666666666,0.005,0.7134583202335673
2026-08-26T18:46:16.864367,2,800,468.3481881481601,2.8207999999999998,13.912022222222221,0.006666666666666666,0.7075406079098506
2026-08-26T18:46:22.045359,3,800,472.28419817979176,3.424,16.74231111111111,0.0,0.6656567029636853
2026-08-26T18:46:27.596004,4,800,463.0280489382323,3.2288,13.056059259259259,0.02,0.6648997940036813
2026-08-26T18:46:46.485413,0,800,463.9506664632338,2.4624,12.620066666666666,0.01,0.702421937256744
2026-08-26T18:46:51.688889,1,800,466.59161348720795,2.4943999999999997,10.025533333333334,0.0,0.6953667282382143
2026-08-26T18:46:57.330317,2,800,476.21098120925586,2.2576,8.611888888888892,0.006666666666666666,0.7496942887710253
2026-08-26T18:47:03.693499,3,800,458.4734308243457,2.64,13.238266666666668,0.011666666666666665,0.7171939868349151
2026-08-26T18:47:08.793449,4,800,468.7067182857639,1.9647999999999999,11.378244444444444,0.016666666666666666,0.7387372442039889
2026-08-26T18:47:26.081917,0,800,454.48130203341793,2.8560000000000003,8.841437037037037,0.0,0.7022862093359015
2026-08-26T18:47:32.540021,1,800,463.2167388800887,2.3583999999999996,8.995800000000001,0.0,0.7138288394388311
2026-08-26T18:47:37.684526,2,800,466.7657892344807,3.4703999999999997,12.425133333333333,0.01,0.6620169838219796
2026-08-26T18:47:43.915209,3,800,469.0909310779084,2.8096000000000005,13.004111111111113,0.013333333333333332,0.6740953911319163
2026-08-26T18:47:49.338114,4,800,458.4698340535169,3.1023999999999994,12.25548888888889,0.013333333333333332,0.7034015992065952
2026-08-26T18:48:07.007299,0,800,477.59830892933496,3.7376,12.408466666666667,0.0,0.6896366041455115
2026-08-26T18:48:13.230063,1,800,470.35584312634813,2.3535999999999997,10.87548888888889,0.03333333333333333,0.7510741739192273
2026-08-26T18:48:18.887059,2,800,473.3687258615192,2.6127999999999996,13.065755555555556,0.006666666666666666,0.6998118556168516
2026-08-26T18:48:24.226691,3,800,462.2795119481678,2.528,12.724199999999998,0.0,0.7287200950893378
2026-08-26T18:48:30.863217,4,800,466.14381701851977,2.3312000000000004,12.628355555555556,0.009166666666666667,0.7027372403450041
2026-08-26T18:48:48.054253,0,800,459.8682437426928,2.696,12.239577777777777,0.0,0.7061116302681699
2026-08-26T18:48:53.271235,1,800,471.9873637851665,2.6112,9.639288888888888,0.011666666666666665,0.694762057798583
2026-08-26T18:49:00.002572,2,800,461.15895132882133,2.1744,12.85191111111111,0.01,0.7480441090806343
2026-08-26T18:49:05.239785,3,800,463.38864427682074,2.6368,11.813066666666668,0.0075,0.67465397172848
2026-08-26T18:49:10.962352,4,800,461.2752538584923,3.8736,11.45723703703704,0.01,0.6921240702095324
2026-08-26T18:49:28.784042,0,800,459.999326487549,2.28,9.135266666666668,0.015,0.708847472786496
2026-08-26T18:49:34.055544,1,800,478.6331230535898,3.580799999999999,12.351566666666665,0.016,0.7020431448798766
2026-08-26T18:49:39.525972,2,800,475.5984807248699,2.3296,10.121755555555556,0.006666666666666666,0.759783647877308
