timestamp,update,policy_loss,value_loss,entropy_loss,total_loss
2026-08-26T18:37:53.720166,0,0.2768562138080597,1.9473681449890137,5.104684352874756,1.2410848538080852
2026-08-26T18:38:39.131038,1,0.2799208164215088,1.9697800874710083,5.105112552642822,1.245138128598531
2026-08-26T18:39:21.586917,2,0.2810537815093994,1.896062970161438,5.105400085449219,1.2217782338460286
2026-08-26T18:40:01.982590,3,0.28573930263519287,1.8814070224761963,5.105640411376953,1.2015936772028606
2026-08-26T18:40:43.975879,4,0.2664049565792084,1.8909093141555786,5.105788230895996,1.1954751014709473
2026-08-26T18:41:25.073808,5,0.2897465229034424,1.948944091796875,5.105866432189941,1.2517833312352498
2026-08-26T18:42:06.780769,6,0.27968353033065796,1.9030098915100098,5.105886459350586,1.2155267000198364
2026-08-26T18:42:46.327218,7,0.27681857347488403,1.8802189826965332,5.105881690979004,1.1874491771062214
2026-08-26T18:43:27.065910,8,0.28279879689216614,1.856658697128296,5.105881214141846,1.1849441130956013
2026-08-26T18:44:07.970482,9,0.28318536281585693,1.869365930557251,5.105900287628174,1.196821928024292
2026-08-26T18:45:18.116781,10,0.27201640605926514,1.9021055698394775,5.1059112548828125,1.2017642259597778
2026-08-26T18:45:58.636366,11,0.27962473034858704,1.923318862915039,5.105913162231445,1.2124233643213909
2026-08-26T18:46:39.649166,12,0.2794496417045593,1.8608342409133911,5.105916500091553,1.184149702390035
2026-08-26T18:47:20.744920,13,0.270729124546051,1.8761377334594727,5.105920314788818,1.1820815404256184
2026-08-26T18:48:01.510739,14,0.2895309031009674,1.8566720485687256,5.105918884277344,1.190294861793518
2026-08-26T18:48:41.921520,15,0.28637272119522095,1.8769309520721436,5.105923652648926,1.203460415204366
2026-08-26T18:49:22.119194,16,0.2781238257884979,1.8867099285125732,5.105921745300293,1.195292353630066
2026-08-26T18:50:03.241442,17,0.2832447588443756,1.8113548755645752,5.105924129486084,1.1668268044789631
2026-08-26T18:50:44.589918,18,0.27735185623168945,1.9393752813339233,5.105926036834717,1.220688819885254
2026-08-26T18:51:24.927343,19,0.28199779987335205,1.865363359451294,5.105926036834717,1.1906336943308513
2026-08-26T18:52:35.042586,20,0.2912948727607727,1.883094072341919,5.1059250831604,1.2051741282145183
2026-08-26T18:53:16.186857,21,0.28167662024497986,1.883083701133728,5.105926513671875,1.1957001686096191
2026-08-26T18:53:57.179261,22,0.28218117356300354,1.8897457122802734,5.105927467346191,1.2035555839538574
2026-08-26T18:54:39.818266,23,0.28993648290634155,1.9149653911590576,5.105927467346191,1.2240508794784546
2026-08-26T18:55:23.151858,24,0.29099535942077637,1.9001479148864746,5.105926513671875,1.2157312234242756
2026-08-26T18:56:04.004191,25,0.28295081853866577,1.87968111038208,5.105929374694824,1.1990022659301758
2026-08-26T18:56:45.588597,26,0.2847478985786438,1.8948428630828857,5.10592794418335,1.2071104447046916
2026-08-26T18:57:26.945875,27,0.29278355836868286,1.8898118734359741,5.105926990509033,1.2102723916371663
2026-08-26T18:58:08.538195,28,0.2750301659107208,1.8498438596725464,5.105928421020508,1.1781872113545735
2026-08-26T18:58:49.900986,29,0.27670490741729736,1.81748366355896,5.105928421020508,1.1624125639597576
2026-08-26T19:00:00.083977,30,0.27546435594558716,1.7943542003631592,5.105929851531982,1.1456619501113892
2026-08-26T19:00:43.397842,31,0.2777232527732849,1.8020832538604736,5.105929851531982,1.1588549216588337
2026-08-26T19:01:26.178430,32,0.28146207332611084,1.8432822227478027,5.105928421020508,1.1811633507410686
2026-08-26T19:02:08.159741,33,0.28359127044677734,1.912164568901062,5.105929851531982,1.2140583197275798
2026-08-26T19:02:49.808283,34,0.29301103949546814,1.8756102323532104,5.105932235717773,1.204572041829427
2026-08-26T19:03:31.046923,35,0.28095054626464844,1.8720309734344482,5.105930805206299,1.1932621399561565
2026-08-26T19:04:11.411253,36,0.2806021273136139,1.9171351194381714,5.105932235717773,1.2092817227045696
2026-08-26T19:04:51.474955,37,0.2864196300506592,1.891826868057251,5.105933666229248,1.2063957850138347
